ID;Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód. no fornecedor;Fornecedor;Localização;Estoque máximo;Estoque mínimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da Embalagem;Largura do produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Itens p/ caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código na Lista de Serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do Produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de Medida;Preço de Compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais;teste;marca_aux;formatoDoSuplemento;tipoDeSuplemento;linha;suplementoPrincipal;nomeComercial;tipoDeEmbalagem;formatoDeVenda;unidadesPorEmbalagem;unidadesPorKit;pesoLiquidog;volumeLiquidoml;volumeDaUnidademl;pesoDaUnidadeg;ingredientes;valoresNutricionaisPorPorcao;pesoDaPorcaog;volumeDaPorcaoml;aminoacidosPorPorcao;idadeMinimaRecomendadaanos;eLivreDeGluten;eVegano;contemLactose;codigoUniversalDeProduto
16587719933;	;SACHE - GUARDIAN LIMAO 85g;;2106.90.30;0;0,00;0,00;;Inativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719920;XTR-SAC-16587719920	;Sache Pre Intra Treino Beterraba Limao E Gengibre 90g Xtratus;;2106.90.30;0;28,00;0,00;;Ativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719907;GRA-DIV-16587719907	;Sab Liq De Calendula 300ml - Granado;;3401.11.90;0;20,65;0,00;;Ativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719894;PHE-COL-16587719894	;Colonia De Limao Siciliano 200ml - Phebo;;3303.00.20;0;49,05;0,00;;Ativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719881;GRA-DIV-16587719881	;Sab De Limao Siciliano 100g - Granado;;3401.11.90;0;6,25;0,00;;Ativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719868;GEN-DIV-16587719868	;Stroopwafel Wafel Holandes - Moinho Wafers;;1905.32.00;0;6,00;0,00;;Ativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719848;GEN-CHA-16587719848	;Cha Da Tranquilidade Interna Folha De Ameixa E Especiarias Chinesas;;2106.90.30;0;25,00;0,00;;Ativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719833;LAS-DIV-16587719833	;Sinergia Inspiracao E Criatividade 5ml - Laszlo;;3301.90.90;0;71,10;0,00;;Ativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719813;GEN-DIV-16587719813	;Guarana Em Po;;2101.11.90;0;12,00;0,00;;Ativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719795;	;CX 10 UNID SACHE MUSHROOM COFFEE 10g - MUSHIN;;0901.21.00;0;0,00;0,00;;Inativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
16587719780;	;SACHE MUSHROOM COFFEE 10g - MUSHIN;;0901.21.00;0;0,00;0,00;;Inativo;0;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;;Própria;;;;;0,00;;0.0;;;;0;;0.0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;
